iter	Passed	Remaining
0	0	93
1	1	84
2	2	81
3	3	75
4	4	76
5	4	74
6	5	72
7	6	71
8	6	70
9	7	70
10	8	69
11	9	70
12	10	69
13	11	69
14	12	68
15	12	67
16	13	66
17	14	65
18	15	64
19	15	63
20	16	62
21	17	61
22	18	60
23	18	59
24	19	59
25	20	58
26	21	57
27	21	55
28	22	54
29	23	53
30	23	52
31	24	51
32	24	50
33	25	49
34	26	48
35	26	47
36	27	47
37	28	46
38	29	45
39	29	44
40	30	43
41	30	42
42	31	41
43	32	40
44	32	40
45	33	39
46	34	38
47	35	38
48	35	37
49	36	36
50	37	36
51	38	35
52	39	34
53	39	34
54	40	33
55	41	32
56	42	31
57	42	30
58	43	30
59	44	29
60	45	28
61	46	28
62	47	27
63	47	26
64	48	26
65	49	25
66	50	24
67	50	23
68	51	23
69	52	22
70	53	21
71	53	20
72	54	20
73	55	19
74	56	18
75	56	17
76	57	17
77	58	16
78	59	15
79	60	15
80	60	14
81	61	13
82	62	12
83	62	11
84	63	11
85	64	10
86	65	9
87	66	9
88	66	8
89	67	7
90	68	6
91	69	6
92	69	5
93	70	4
94	71	3
95	72	3
96	72	2
97	73	1
98	74	0
99	75	0
