iter	Passed	Remaining
0	151	151051
1	152	76184
2	154	51296
3	155	38823
4	158	31480
5	160	26513
6	161	22945
7	163	20269
8	165	18196
9	166	16505
10	168	15108
11	169	13943
12	170	12942
13	171	12110
14	173	11374
15	174	10720
16	175	10141
17	176	9625
18	177	9163
19	178	8740
20	179	8357
21	180	8004
22	180	7680
23	181	7383
24	182	7112
25	183	6865
26	183	6627
27	184	6406
28	185	6207
29	186	6016
30	186	5837
31	187	5668
32	188	5511
33	188	5363
34	189	5221
35	190	5088
36	190	4965
37	191	4850
38	192	4736
39	192	4627
40	193	4525
41	194	4427
42	194	4333
43	195	4243
44	195	4157
45	196	4075
46	197	3996
47	197	3921
48	198	3848
49	198	3778
50	199	3713
51	200	3649
52	200	3589
53	201	3530
54	202	3473
55	202	3417
56	203	3364
57	203	3312
58	204	3263
59	205	3215
60	205	3169
61	206	3126
62	207	3081
63	207	3038
64	208	2997
65	208	2957
66	209	2918
67	210	2881
68	210	2844
69	211	2809
70	212	2774
71	212	2741
72	213	2710
73	214	2680
74	214	2650
75	215	2620
76	216	2593
77	217	2569
78	218	2543
79	218	2517
80	219	2491
81	220	2466
82	220	2438
83	221	2416
84	222	2394
85	223	2371
86	223	2349
87	224	2326
88	225	2305
89	226	2285
90	226	2263
91	227	2242
92	227	2222
93	228	2202
94	229	2183
95	230	2166
96	230	2149
97	231	2132
98	232	2114
99	232	2096
100	233	2079
101	234	2062
102	235	2047
103	235	2032
104	236	2016
105	237	2001
106	237	1986
107	238	1970
108	239	1956
109	240	1942
110	240	1928
111	241	1914
112	242	1900
113	242	1886
114	243	1873
115	244	1861
116	244	1847
117	245	1836
118	246	1823
119	247	1811
120	247	1800
121	248	1786
122	248	1774
123	249	1763
124	250	1752
125	251	1741
126	251	1729
127	252	1718
128	252	1708
129	253	1698
130	254	1686
131	254	1676
132	255	1665
133	255	1654
134	256	1643
135	257	1633
136	257	1623
137	258	1613
138	258	1604
139	259	1594
140	260	1586
141	260	1576
142	261	1567
143	262	1560
144	263	1551
145	263	1542
146	264	1534
147	265	1526
148	265	1518
149	266	1510
150	267	1502
151	267	1494
152	268	1486
153	269	1479
154	269	1471
155	270	1464
156	271	1456
157	271	1448
158	272	1441
159	273	1433
160	273	1425
161	274	1417
162	274	1410
163	275	1402
164	275	1395
165	276	1390
166	277	1384
167	278	1377
168	278	1371
169	279	1364
170	280	1358
171	280	1352
172	281	1345
173	282	1340
174	282	1333
175	283	1327
176	284	1320
177	284	1314
178	285	1307
179	285	1301
180	286	1295
181	286	1289
182	287	1283
183	287	1277
184	288	1271
185	289	1265
186	289	1259
187	290	1253
188	291	1249
189	291	1244
190	292	1239
191	293	1234
192	294	1229
193	294	1224
194	295	1219
195	296	1214
196	296	1209
197	297	1204
